"1-Acurácia (Avg)", "2-Acurácia (Avg)", "3-Acurácia (Avg)","Treinamento (ms)","Classificação (ms)", "Dataset", "Algoritmo","Configuração" 
65.19,86.99,93.89,0.07,0.55, glass.arff, KNN 7,Class
27.89,53.57,74.21,0.78,132.74, poker-hand-training-true.arff, KNN 7,Class
96.67,100,100,0.07,0.19, iris.arff, KNN 7,Class
70.69,94.84,97.37,1.36,460.3, covtype01perNomi.arff, KNN 7,Class
94.73,99.3,99.86,0.36,20.9, car.arff, KNN 7,Class
89.28,92.48,100,0.13,2.51, balance-scale.arff, KNN 7,Class
94.13,99.64,99.98,0.68,93.56, nursery.arff, KNN 7,Class
73.95,84.83,88.6,0.39,1257.27, data0NonNormalized3-reordered.arff, KNN 7,Class
96.07,100,100,0.07,0.56, wine.arff, KNN 9,Class
94.32,98.3,99.3,0.35,22.67, segment-challenge.arff, KNN 9,Class
63.94,86.06,94.11,0.07,0.56, glass.arff, KNN 9,Class
28.74,54.88,76.77,0.77,140.41, poker-hand-training-true.arff, KNN 9,Class
96,100,100,0.06,0.21, iris.arff, KNN 9,Class
70.14,95.3,97.93,1.36,502.27, covtype01perNomi.arff, KNN 9,Class
94.73,99.3,99.86,0.34,22.41, car.arff, KNN 9,Class
90.24,92.48,100,0.13,2.55, balance-scale.arff, KNN 9,Class
93.66,99.65,100,0.7,95.72, nursery.arff, KNN 9,Class
72.45,84.44,88.68,0.4,1308.8, data0NonNormalized3-reordered.arff, KNN 9,Class
93.82,99.44,100,27.7,0, wine.arff, Árvore de Decisão,Meta
95.73,98.73,99.47,326.48,0, segment-challenge.arff, Árvore de Decisão,Meta
66.82,87.38,97.2,20.61,0, glass.arff, Árvore de Decisão,Meta
33.16,59.35,78.88,2643.24,0, poker-hand-training-true.arff, Árvore de Decisão,Meta
96,99.33,100,1.81,0, iris.arff, Árvore de Decisão,Meta
70.59,96.61,99.38,8106.1,0, covtype01perNomi.arff, Árvore de Decisão,Meta
92.36,99.25,99.77,22.1,0, car.arff, Árvore de Decisão,Meta
76.64,89.12,100,6.55,0, balance-scale.arff, Árvore de Decisão,Meta
92.37,99.94,99.94,23.24,0, nursery.arff, Árvore de Decisão,Meta
73.54,84.5,89.04,173161.4,0, data0NonNormalized3-reordered.arff, Árvore de Decisão,Meta
96.63,100,100,15.82,0, wine.arff, Naive Bayes,Meta
81.07,95.2,98.33,114.1,0, segment-challenge.arff, Naive Bayes,Meta
48.6,68.69,97.2,8.18,0, glass.arff, Naive Bayes,Meta
26.64,53.88,80.74,99.66,0, poker-hand-training-true.arff, Naive Bayes,Meta
96,100,100,1.01,0, iris.arff, Naive Bayes,Meta
62.81,92.63,98.62,577.9,0, covtype01perNomi.arff, Naive Bayes,Meta
85.53,96.99,99.77,10.01,0, car.arff, Naive Bayes,Meta
90.4,92.16,100,1.61,0, balance-scale.arff, Naive Bayes,Meta
89.94,99.94,99.94,12.14,0, nursery.arff, Naive Bayes,Meta
39.35,54.15,61.81,10050.15,0, data0NonNormalized3-reordered.arff, Naive Bayes,Meta
98.31,100,100,128.69,0, wine.arff, SVM,Meta
91.93,98.27,99.27,1083.41,0, segment-challenge.arff, SVM,Meta
55.61,84.58,94.86,182.49,0, glass.arff, SVM,Meta
26.7,53.74,80.82,1955.51,0, poker-hand-training-true.arff, SVM,Meta
96,100,100,17.11,0, iris.arff, SVM,Meta
71.1,95.61,99.23,29064.42,0, covtype01perNomi.arff, SVM,Meta
93.81,99.48,100,531.41,0, car.arff, SVM,Meta
87.36,92.16,100,20.6,0, balance-scale.arff, SVM,Meta
92.61,99.94,100,2015.96,0, nursery.arff, SVM,Meta
64.76,77.83,82.92,279778.69,0, data0NonNormalized3-reordered.arff, SVM,Meta
97.75,100,100,116.6,0, wine.arff, Random Forest,Meta
97.87,99.67,100,4122.59,0, segment-challenge.arff, Random Forest,Meta
80.84,92.06,97.2,398.06,0, glass.arff, Random Forest,Meta
36.58,65.65,86.02,16237.06,0, poker-hand-training-true.arff, Random Forest,Meta
95.33,100,100,68.63,0, iris.arff, Random Forest,Meta
77.97,97.25,99.47,33146.98,0, covtype01perNomi.arff, Random Forest,Meta
94.56,99.71,99.88,624.94,0, car.arff, Random Forest,Meta
81.12,85.76,100,235.83,0, balance-scale.arff, Random Forest,Meta
94.98,99.94,100,1205.76,0, nursery.arff, Random Forest,Meta
85.8,92.06,94.13,385520.72,0, data0NonNormalized3-reordered.arff, Random Forest,Meta
95.51,100,100,11.7,0, wine.arff, KNN 5,Meta
94.67,98.4,99.33,92.04,0, segment-challenge.arff, KNN 5,Meta
67.76,86.92,95.79,3.82,0, glass.arff, KNN 5,Meta
28.53,55.74,80.44,420.39,0, poker-hand-training-true.arff, KNN 5,Meta
95.33,100,100,1.06,0, iris.arff, KNN 5,Meta
71.6,95.87,98.95,1066.17,0, covtype01perNomi.arff, KNN 5,Meta
93.52,99.19,99.77,33.92,0, car.arff, KNN 5,Meta
86.56,92.64,100,4.7,0, balance-scale.arff, KNN 5,Meta
94.95,99.76,99.94,207.48,0, nursery.arff, KNN 5,Meta
76.11,84.47,88.12,4297.99,0, data0NonNormalized3-reordered.arff, KNN 5,Meta
94.94,100,100,2.47,0, wine.arff, KNN 7,Meta
94.2,98.27,99.13,91.34,0, segment-challenge.arff, KNN 7,Meta
64.02,87.38,95.79,3.48,0, glass.arff, KNN 7,Meta
28.34,56.38,81.14,284.08,0, poker-hand-training-true.arff, KNN 7,Meta
96.67,100,100,0.97,0, iris.arff, KNN 7,Meta
70.67,96.04,98.85,1058.63,0, covtype01perNomi.arff, KNN 7,Meta
93.52,98.9,99.59,35.7,0, car.arff, KNN 7,Meta
88.8,92.64,100,4.49,0, balance-scale.arff, KNN 7,Meta
94.29,99.64,99.94,215.49,0, nursery.arff, KNN 7,Meta
73.72,83.56,87.35,4286.45,0, data0NonNormalized3-reordered.arff, KNN 7,Meta
96.07,100,100,1.94,0, wine.arff, KNN 9,Meta
94.33,98.27,99,94.12,0, segment-challenge.arff, KNN 9,Meta
63.08,83.64,94.86,2.79,0, glass.arff, KNN 9,Meta
29.66,56.95,81.06,331.42,0, poker-hand-training-true.arff, KNN 9,Meta
96,100,100,0.81,0, iris.arff, KNN 9,Meta
70.14,95.82,98.67,1246.6,0, covtype01perNomi.arff, KNN 9,Meta
93.52,96.35,99.42,40.9,0, car.arff, KNN 9,Meta
90.4,92.64,100,4.67,0, balance-scale.arff, KNN 9,Meta
93.63,99.64,99.94,224.36,0, nursery.arff, KNN 9,Meta
72.42,82.29,86.33,4427.43,0, data0NonNormalized3-reordered.arff, KNN 9,Meta
